DATE,GDP
2016-01-01,0.566413433959514
2016-04-01,0.311918336090345
2016-07-01,0.544396054312948
2016-10-01,0.629298346782329
2017-01-01,0.565668983287766
2017-04-01,0.426944003100798
2017-07-01,0.728833615855309
2017-10-01,0.955677326874904
2018-01-01,0.931679149986779
2018-04-01,0.668628011477096
2018-07-01,0.525195606844785
2018-10-01,0.32832142949512
2019-01-01,0.725122559500209
2019-04-01,0.370716166833257
2019-07-01,0.636914747006643
2019-10-01,0.586231850138638
2020-01-01,-1.26265460521651
2020-04-01,-9.09301889110892
