DATE,AUS_CPI
2016-01-01,100.487578360808
2016-04-01,100.859066635709
2016-07-01,101.602043185512
2016-10-01,102.159275597864
2017-01-01,102.623635941491
2017-04-01,102.809380078941
2017-07-01,103.459484560019
2017-10-01,104.109589041096
2018-01-01,104.573949384723
2018-04-01,104.945437659624
2018-07-01,105.409798003251
2018-10-01,105.967030415602
2019-01-01,105.967030415602
2019-04-01,106.61713489668
2019-07-01,107.174367309032
2019-10-01,107.917343858834
2020-01-01,108.288832133736
2020-04-01,106.245646621778
